,2015,2016,2017,2018,2019,2020,2021
Centrum,436704,500344,549540,614565,647150,672925,735193
West,264217,319813,361128,410996,444054,473252,523489
Nieuw-West,203056,240836,285407,327518,353981,389345,434927
Zuid,419461,495009,572687,633715,657914,667673,747390
Oost,295050,350939,401970,466106,491735,521939,567228
Noord,198660,244718,295287,363319,381269,413380,471072
Zuidoost,147577,165684,198262,241241,263299,286469,323134
Weesp,209958,240867,254256,324482,389328,400685,449538
Westpoort,0,0,0,0,0,0,0
Amsterdam,302102,355558,401824,456981,485530,513021,578698