bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,personenautos_per_huishouden,motortweewielers_totaal,bouwjaarklasse_tot_2000,stadsdeel,buurtcode,buurtnaam
4789,430,215,220,12,13,26,36,14,59,31,7,3,9,210,2.0,197,553,0.6,15,41,Oost,BU03633202,Zeeburgerdijk Oost
39,20,5,10,0,0,0,0,0,0,0,0,0,0,10,1.6,5,0,0.0,0,0,Oost,BU03633203,Flevopark
6139,1415,745,670,13,7,44,28,7,62,29,8,1,18,730,1.9,751,565,0.6,40,0,Oost,BU03633300,Oostelijke Handelskade
8941,2410,1210,1205,13,10,36,30,11,63,27,8,2,16,1250,1.9,1221,506,0.5,70,231,Oost,BU03633301,Rietlanden
18135,3085,1540,1540,12,9,27,36,15,60,29,8,3,9,1615,1.9,1572,581,0.6,65,1336,Oost,BU03633302,Java-eiland
18385,2390,1240,1145,10,7,26,39,17,58,30,10,3,9,1385,1.7,1324,466,0.6,115,1284,Oost,BU03633303,KNSM-eiland
17531,2805,1375,1430,17,13,25,39,5,64,30,6,1,5,1170,2.4,1112,582,0.7,95,522,Oost,BU03633304,Sporenburg
23150,2780,1385,1395,19,13,27,35,6,67,26,7,1,14,1190,2.3,1107,633,0.6,110,664,Oost,BU03633305,Borneo
13036,1435,715,725,11,11,32,33,13,61,25,11,2,10,785,1.8,758,416,0.5,40,674,Oost,BU03633306,Entrepot-Noordwest
17040,1705,855,850,9,9,30,36,16,62,25,11,2,13,1020,1.7,1004,389,0.5,50,1004,Oost,BU03633307,Architectenbuurt
850,35,10,20,0,0,0,0,0,0,0,0,0,0,25,1.5,18,0,0.0,0,0,Oost,BU03633308,Bedrijvengebied Veelaan
3188,545,305,235,13,12,60,14,2,76,20,4,1,52,310,1.7,298,0,0.6,25,8,Oost,BU03633309,Bedrijvengebied Cruquiusweg
3220,160,85,75,17,9,35,20,19,63,30,4,2,19,95,1.7,12,0,0.8,10,0,Oost,BU03633310,Bedrijvengebied Zeeburgerkade
57,20,10,10,0,0,0,0,0,0,0,0,0,0,5,2.5,5,0,0.0,0,0,Oost,BU03633400,Zeeburgereiland Noordwest
2161,495,205,290,1,80,17,1,1,98,2,0,0,2,450,1.1,453,23,0.1,5,0,Oost,BU03633402,Zeeburgereiland Zuidoost
1524,260,125,135,5,51,35,7,2,95,3,1,0,4,200,1.3,86,0,0.4,20,0,Oost,BU03633403,Zeeburgereiland Zuidwest
63,75,45,30,13,15,16,40,16,60,31,7,3,0,35,2.1,16,0,0.0,5,0,Oost,BU03633404,Nieuwe Diep/Diemerpark
14131,4095,2060,2040,17,14,50,15,5,73,20,6,1,17,2265,1.8,2382,0,0.4,80,0,Oost,BU03633405,RI Oost terrein
154,35,20,15,0,0,0,0,0,0,0,0,0,27,20,1.7,0,0,0.0,0,0,Oost,BU03633406,Zeeburgereiland Noordoost
11400,1595,800,795,22,13,35,26,4,65,25,8,1,19,700,2.3,669,450,0.7,50,0,Oost,BU03633500,Steigereiland Noord
11652,2680,1360,1315,25,17,22,32,4,66,28,6,1,8,940,2.8,932,580,0.8,70,0,Oost,BU03633501,Steigereiland Zuid
10367,2800,1405,1390,22,17,19,37,5,61,32,6,1,6,1000,2.8,965,756,0.9,70,0,Oost,BU03633502,Haveneiland Zuidwest/Rieteiland West
16729,2840,1425,1420,18,12,39,23,8,64,27,8,1,11,1390,2.0,1387,397,0.5,80,0,Oost,BU03633504,Haveneiland Noordwest
18658,5785,2850,2935,23,14,33,26,5,63,29,7,1,15,2360,2.5,2321,463,0.6,135,0,Oost,BU03633505,Haveneiland Noordoost
867,450,240,210,12,4,68,11,5,79,14,6,1,27,245,1.8,226,477,0.6,15,40,West,BU03633600,Woon- en Groengebied Sloterdijk
88,60,45,15,0,10,35,52,3,80,7,13,0,0,55,1.1,17,0,0.0,10,0,West,BU03633601,Bedrijventerrein Sloterdijk I
4945,540,285,260,6,9,71,8,6,80,15,4,1,22,365,1.5,359,0,0.4,15,359,West,BU03633700,Bedrijventerrein Landlust
16771,5705,2745,2960,15,16,39,22,9,65,26,7,2,13,2915,1.9,2738,330,0.4,100,2573,West,BU03633702,Bosleeuw
20535,4110,2040,2065,13,9,49,21,9,71,19,8,2,19,2330,1.8,2175,386,0.4,100,2175,West,BU03633703,Landlust Zuid
23363,1870,895,970,17,13,38,24,8,69,22,7,2,16,970,1.9,872,453,0.4,40,706,West,BU03633704,Erasmusparkbuurt Oost
22689,4310,2170,2140,13,10,47,22,8,70,20,9,2,14,2505,1.7,2340,329,0.3,75,2340,West,BU03633705,Gibraltarbuurt
24040,2405,1150,1255,15,13,45,20,8,70,21,7,2,12,1295,1.8,1218,347,0.4,50,1193,West,BU03633706,Landlust Noord
13603,4080,1930,2155,11,10,52,18,8,72,21,6,2,19,2355,1.7,2159,356,0.4,100,1921,West,BU03633802,Erasmusparkbuurt West
25100,1755,840,915,11,12,48,20,8,72,20,6,2,12,990,1.8,923,377,0.3,45,913,West,BU03633803,Robert Scottbuurt Oost
14393,2015,970,1040,9,14,47,17,13,68,20,7,4,7,1300,1.5,1382,254,0.3,40,1174,West,BU03633900,Robert Scottbuurt West
13894,2220,1110,1110,18,21,41,13,7,71,22,6,2,20,1225,1.8,1217,354,0.3,20,0,West,BU03633901,Laan van Spartaan
18800,2260,1145,1115,15,13,43,19,10,62,28,7,3,12,1080,2.1,1076,376,0.4,30,333,West,BU03633902,Kolenkitbuurt Zuid
15087,4530,2305,2225,21,13,41,20,6,63,29,7,1,17,1945,2.3,1800,343,0.5,40,990,West,BU03633903,Kolenkitbuurt Noord
21275,1705,800,905,8,9,59,15,8,80,13,5,1,16,1140,1.5,1083,373,0.3,40,1050,West,BU03634000,Geuzenhofbuurt
26533,3180,1515,1665,13,12,47,18,9,73,19,5,2,18,1780,1.8,1603,456,0.4,65,1603,West,BU03634001,Trompbuurt
26871,1885,965,915,12,11,45,23,9,71,20,7,2,14,1080,1.7,1008,410,0.4,55,977,West,BU03634002,Pieter van der Doesbuurt
28271,1980,965,1010,12,9,48,22,9,73,17,9,2,19,1195,1.7,1124,362,0.4,50,1124,West,BU03634100,John Franklinbuurt
27975,2240,1055,1180,11,12,43,25,9,70,18,9,2,14,1335,1.7,1319,350,0.3,40,1319,West,BU03634101,Jan Maijenbuurt
33975,1360,665,695,11,9,47,20,12,68,19,10,3,10,810,1.7,776,351,0.3,35,776,West,BU03634102,Orteliusbuurt Noord
26700,2670,1870,800,13,14,44,28,1,78,6,16,0,17,0,1.0,1,0,0.0,30,0,West,BU03634103,Mercatorpark
25358,3045,1500,1545,12,12,47,21,8,71,18,9,2,14,1725,1.8,1671,361,0.3,75,1570,West,BU03634200,Balboaplein e.o.
24979,3495,1790,1710,13,10,44,24,10,68,22,9,2,18,2020,1.7,1943,364,0.4,70,1943,West,BU03634201,Columbusplein e.o.
32217,1935,940,990,11,10,47,23,8,72,18,9,1,20,1155,1.7,1116,373,0.4,60,1116,West,BU03634202,Orteliusbuurt Midden
23425,1875,905,970,9,10,48,20,13,70,18,8,4,13,1110,1.6,1060,362,0.4,40,1060,West,BU03634203,Orteliusbuurt Zuid
23713,3795,1805,1985,13,9,51,18,8,73,19,6,2,18,2155,1.8,1972,459,0.4,95,1972,West,BU03634300,Paramariboplein e.o.
19013,3045,1420,1625,12,9,48,20,10,72,19,7,2,20,1750,1.7,1660,426,0.4,80,1660,West,BU03634301,Postjeskade e.o.
19450,1555,695,860,13,10,45,20,13,71,22,5,2,12,915,1.7,831,490,0.4,45,814,Zuid,BU03634400,Surinamepleinbuurt
22506,3600,1675,1930,12,9,47,22,10,72,19,7,2,21,2100,1.7,2036,434,0.4,95,2015,Zuid,BU03634401,Westlandgrachtbuurt
25240,2525,1155,1370,11,8,53,19,8,73,20,6,1,23,1480,1.7,1463,410,0.4,75,1463,Zuid,BU03634402,Aalsmeerwegbuurt West
19673,2165,1025,1135,10,9,46,25,10,72,19,7,2,16,1300,1.7,1264,453,0.5,45,1251,Zuid,BU03634403,Aalsmeerwegbuurt Oost
23900,1675,770,905,13,9,43,24,11,71,20,7,2,16,975,1.7,939,476,0.4,40,901,Zuid,BU03634404,Legmeerpleinbuurt
791,260,145,120,3,38,31,20,8,79,16,3,2,0,195,1.3,7,0,1.3,15,0,Zuid,BU03634405,Bedrijventerrein Schinkel
24310,2430,1175,1255,9,12,49,22,8,74,17,7,1,13,1550,1.6,1465,451,0.4,60,1377,Zuid,BU03634500,Schinkelbuurt Noord
8179,1555,730,825,10,11,41,23,15,70,16,11,3,8,985,1.6,946,419,0.3,30,841,Zuid,BU03634501,Schinkelbuurt Zuid
12955,1425,710,710,20,13,22,32,13,55,36,7,2,6,640,2.2,667,1144,0.9,40,667,Zuid,BU03634600,Valeriusbuurt Oost
18429,2580,1250,1335,18,10,32,26,14,61,30,6,2,10,1245,2.1,1243,820,0.6,45,1243,Zuid,BU03634601,Valeriusbuurt West
8226,1565,775,790,14,14,29,29,13,59,32,6,2,10,790,2.0,771,1234,0.8,25,771,Zuid,BU03634602,Willemsparkbuurt Noord
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Zuid,BU03634603,Vondelpark West
10027,1505,745,760,15,10,30,27,17,58,32,6,3,10,780,1.9,764,1029,0.6,25,695,Zuid,BU03634700,Johannnes Vermeerbuurt
7145,785,400,390,11,9,35,27,17,60,33,6,2,10,450,1.7,492,1071,0.6,30,487,Zuid,BU03634701,P.C. Hooftbuurt
14085,1830,930,900,16,11,28,28,17,58,33,6,3,13,965,1.9,1016,1168,0.6,35,995,Zuid,BU03634702,Concertgebouwbuurt
15121,2870,1420,1450,17,12,27,29,15,56,37,5,2,9,1430,2.0,1480,1267,0.7,60,1480,Zuid,BU03634703,Cornelis Schuytbuurt
7870,785,375,410,14,14,17,29,26,50,39,8,4,3,375,2.1,345,1583,0.8,15,341,Zuid,BU03634704,Banpleinbuurt
16733,2005,965,1045,15,10,34,23,18,59,32,5,4,9,1065,1.9,1026,868,0.6,35,1026,Zuid,BU03634705,Hondecoeterbuurt
13700,1370,635,735,8,6,18,21,47,42,38,12,8,4,865,1.6,883,550,0.5,20,883,Zuid,BU03634706,Harmoniehofbuurt
0,5,10,5,0,0,0,0,0,0,0,0,0,0,5,1.6,5,0,0.0,0,0,Zuid,BU03634707,Museumplein
0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5,3,0,0.0,0,0,Zuid,BU03634708,Vondelpark Oost
22683,1360,660,700,10,10,50,22,8,73,19,6,1,13,845,1.6,868,527,0.4,25,868,Zuid,BU03634709,Duivelseiland
22200,1110,535,575,9,9,35,25,21,63,20,14,3,8,680,1.6,649,419,0.4,30,649,Zuid,BU03634800,Bertelmanpleinbuurt
9807,1470,695,775,11,11,30,29,19,64,20,13,3,10,880,1.7,876,439,0.4,40,876,Zuid,BU03634801,Marathonbuurt Oost
19925,2395,1135,1255,9,9,38,28,17,66,18,13,3,8,1535,1.6,1523,368,0.4,50,1523,Zuid,BU03634802,Marathonbuurt West
11152,2340,1125,1220,19,7,37,22,15,59,30,8,3,13,1160,2.0,1198,621,0.6,45,131,Zuid,BU03634803,Olympisch Stadion e.o.
1639,375,180,195,21,13,16,37,13,62,29,7,2,5,165,2.3,3,0,0.9,20,0,Zuid,BU03634804,IJsbaanpad e.o.
20875,4175,1940,2230,13,9,45,20,12,68,22,8,3,16,2375,1.8,2320,487,0.5,85,2320,Zuid,BU03634805,Van Tuyllbuurt
4258,805,390,420,21,13,20,30,16,53,39,4,4,9,330,2.5,330,2113,1.2,5,326,Zuid,BU03634900,Diepenbrockbuurt
8100,1215,580,635,18,13,22,29,19,51,37,8,4,15,560,2.2,561,1361,0.9,25,561,Zuid,BU03634901,Beethovenbuurt
840,85,40,45,24,15,6,43,12,50,38,11,1,0,30,2.7,33,0,0.0,5,32,Zuid,BU03634902,Hiltonbuurt
9779,1370,670,695,21,10,21,30,18,51,38,7,3,12,600,2.3,614,1212,0.8,20,614,Zuid,BU03634903,Minervabuurt Noord
15933,2390,1125,1260,19,12,24,27,18,52,37,7,4,10,1110,2.2,1111,1045,0.8,20,1111,Zuid,BU03634904,Minervabuurt Midden
17553,2630,1270,1360,18,8,30,25,19,55,34,7,3,17,1305,2.0,1261,862,0.7,40,1261,Zuid,BU03634905,Minervabuurt Zuid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Oost,BU03635000,Strandeiland
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Oost,BU03635001,Middeneiland Zuidoost
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Oost,BU03635003,Middeneiland Zuidwest
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Oost,BU03635005,Buiteneiland
263,70,35,35,37,7,34,23,0,66,31,3,0,141,25,3.1,9,0,0.0,5,0,Oost,BU03635006,Centrumeiland
3430,345,165,175,34,13,14,38,1,64,34,3,0,3,100,3.5,90,1414,1.3,10,0,Oost,BU03635100,Rieteiland Oost
13707,6030,2970,3060,30,12,29,26,3,65,28,6,1,12,2205,2.7,2186,540,0.7,120,0,Oost,BU03635101,Haveneiland Oost
16191,1780,830,945,21,12,38,22,7,64,25,9,2,13,830,2.1,821,393,0.6,45,0,Oost,BU03635102,Haveneiland Noord
21036,2945,1355,1590,14,9,39,23,14,65,25,7,2,15,1590,1.9,1478,638,0.5,70,1478,Zuid,BU03635200,Wielingenbuurt
17140,4285,2025,2260,14,10,39,21,15,66,23,8,3,16,2405,1.8,2238,561,0.5,90,2238,Zuid,BU03635201,Scheldebuurt West
19350,3095,1420,1675,15,9,42,19,15,66,24,7,2,17,1665,1.9,1557,597,0.5,90,1557,Zuid,BU03635202,Scheldebuurt Midden
16629,2330,1055,1270,13,11,43,20,12,69,22,7,2,14,1305,1.8,1181,523,0.4,55,1181,Zuid,BU03635203,Scheldebuurt Oost
11515,1495,725,770,12,6,35,22,26,62,17,13,8,11,875,1.6,974,417,0.4,20,788,Zuid,BU03635206,Veluwebuurt
4024,685,350,335,13,5,62,12,9,65,28,5,2,29,350,1.9,426,0,0.5,15,0,Zuid,BU03635207,Kop Zuidas
19592,2350,1130,1220,10,9,43,23,16,70,18,10,2,12,1495,1.6,1471,412,0.4,40,1471,Zuid,BU03635300,IJselbuurt West
22100,2870,1370,1505,11,13,43,21,13,70,18,9,3,11,1730,1.7,1543,440,0.4,80,1373,Zuid,BU03635301,IJselbuurt Oost
14624,2485,1175,1315,9,11,42,23,15,72,16,10,3,9,1580,1.6,1453,413,0.3,55,1423,Zuid,BU03635400,Kromme Mijdrechtbuurt
14132,2685,1260,1425,10,13,44,21,12,71,18,8,2,16,1645,1.6,1513,424,0.4,75,1497,Zuid,BU03635401,Rijnbuurt Oost
8435,2195,1010,1185,10,10,47,20,13,73,18,7,2,14,1325,1.7,1242,444,0.5,65,1242,Zuid,BU03635402,Rijnbuurt Midden
20925,1675,810,865,11,8,30,29,21,64,17,16,3,11,1075,1.6,1073,383,0.3,25,1030,Zuid,BU03635403,Rijnbuurt West
170,45,25,20,0,0,0,0,0,0,0,0,0,0,25,1.8,15,0,0.0,10,0,Zuid,BU03635404,Zorgvlied
15367,2765,1460,1305,8,25,54,10,2,86,8,5,0,15,1760,1.3,1367,273,0.2,45,724,Oost,BU03635501,De Eenhoorn
5744,1035,525,505,9,5,56,17,13,70,22,6,2,17,600,1.7,610,436,0.4,20,420,Oost,BU03635502,Julianapark
13175,2105,1060,1045,16,11,35,25,14,66,25,6,2,13,1055,2.0,1000,529,0.6,40,990,Oost,BU03635503,Don Bosco
52,15,5,5,0,0,0,0,0,0,0,0,0,77,10,1.6,8,0,0.0,0,0,Oost,BU03635504,Frankendael
7582,835,365,475,15,10,23,29,24,58,20,16,6,18,490,1.7,486,299,0.4,20,486,Oost,BU03635505,Tuindorp Amstelstation
6493,1820,855,960,15,11,21,30,23,56,28,9,6,10,890,1.9,885,435,0.6,60,885,Oost,BU03635506,De Wetbuurt
7608,2740,1395,1345,14,6,34,25,20,60,23,13,4,13,1575,1.6,1525,383,0.4,85,1204,Oost,BU03635507,Tuindorp Frankendael
8300,580,295,280,15,15,33,24,13,66,23,9,2,12,305,1.9,272,321,0.4,10,272,Oost,BU03635508,Van der Kunbuurt
15541,2640,1305,1340,17,11,33,25,14,65,27,6,2,10,1325,2.0,1285,653,0.6,75,1285,Oost,BU03635600,Linnaeusparkbuurt
15200,2890,1355,1535,19,12,27,28,14,60,32,6,3,13,1295,2.2,1200,663,0.6,75,1200,Oost,BU03635601,Middenmeer Noord
12458,4985,2370,2615,19,12,32,25,12,64,26,7,3,18,2420,2.1,2312,523,0.6,100,2312,Oost,BU03635602,Middenmeer Zuid
1419,295,135,165,9,3,17,23,48,40,31,12,18,17,185,1.6,189,520,0.6,5,189,Oost,BU03635603,Sportpark Middenmeer Zuid
1042,250,170,85,1,62,36,1,0,94,5,1,0,0,240,1.0,251,75,0.0,5,0,Oost,BU03635604,Sportpark Middenmeer Noord
6023,1565,750,815,13,13,20,38,17,53,37,7,3,8,710,2.2,699,575,0.7,30,0,Oost,BU03635605,Park de Meer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Oost,BU03635606,Sportpark Voorland
6400,2625,1215,1410,6,45,37,10,2,85,13,2,0,8,1935,1.4,1847,287,0.2,35,0,Oost,BU03635607,Science Park Noord
407,285,160,120,2,49,41,4,3,92,6,2,1,7,265,1.1,243,122,0.2,0,2,Oost,BU03635608,Science Park Zuid
7116,3130,1460,1675,13,8,27,28,24,57,24,14,5,13,1870,1.7,1954,360,0.5,100,1954,Oost,BU03635700,Betondorp
0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,2.0,3,0,0.0,0,0,Oost,BU03635701,Nieuwe Oosterbegraafplaats
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Oost,BU03635702,Drieburg
1861,855,470,385,7,12,66,12,3,82,15,3,1,18,460,1.6,1129,0,0.6,45,33,Oost,BU03635801,Weespertrekvaart
182,80,40,40,15,9,21,35,21,66,24,6,4,0,40,2.2,1,0,0.0,5,0,Oost,BU03635804,Amstelglorie
43,50,30,15,0,0,0,0,0,0,0,0,0,0,10,2.9,5,0,0.0,0,0,Oost,BU03635805,Overamstel
9436,2640,1345,1295,10,14,62,12,2,82,14,4,0,14,1725,1.5,1746,388,0.5,70,0,Oost,BU03635806,Amstelkwartier Noord
5967,715,370,345,9,6,42,23,19,58,32,7,4,17,420,1.7,412,591,0.5,20,387,Oost,BU03635807,De Omval
126,30,15,15,0,0,0,0,0,0,0,0,0,0,20,1.5,3,0,0.0,5,0,Oost,BU03635808,Amstelkwartier Zuid
4186,880,465,420,1,29,66,3,2,94,5,1,0,8,710,1.2,711,230,0.1,20,191,Oost,BU03635809,Amstelkwartier West
5750,1380,645,740,20,9,24,25,22,51,38,6,5,5,650,2.1,693,913,0.9,20,693,Zuid,BU03635900,Prinses Irenebuurt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Zuid,BU03635901,Beatrixpark
9429,4620,2295,2325,16,12,35,27,9,66,20,11,2,14,2465,1.9,2470,270,0.5,95,2420,Noord,BU03636000,Van der Pekbuurt
6711,2415,1170,1245,19,10,29,26,15,61,24,11,4,12,1215,2.0,1189,329,0.5,35,1189,Noord,BU03636001,Bloemenbuurt Zuid
6880,2410,1200,1210,15,7,31,29,18,54,30,11,5,13,1240,1.9,1220,308,0.7,70,1220,Noord,BU03636002,Bloemenbuurt Noord
12150,2430,1270,1155,12,9,32,31,16,62,23,12,4,9,1435,1.7,1426,317,0.5,55,1426,Noord,BU03636100,IJplein e.o.
13284,4250,2115,2135,16,12,35,25,12,65,22,10,3,15,2175,1.9,2028,330,0.5,75,1906,Noord,BU03636101,Vogelbuurt Zuid
4403,1275,630,650,16,9,39,25,11,67,21,10,3,22,710,1.8,658,309,0.5,45,658,Noord,BU03636102,Vogelbuurt Noord
484,180,95,85,18,15,18,42,7,60,30,8,2,6,70,2.5,40,555,1.2,10,2,Noord,BU03636103,Vliegenbos
9482,1045,475,565,13,8,22,28,29,44,38,10,8,8,535,1.9,538,316,0.8,35,538,Noord,BU03636200,Tuindorp Nieuwendam West
7634,2445,1115,1325,17,8,23,31,21,54,27,13,6,13,1290,1.9,1304,333,0.7,110,1304,Noord,BU03636201,Tuindorp Nieuwendam Oost
11153,1895,915,985,15,10,27,29,19,55,29,10,6,15,930,2.0,912,318,0.7,65,912,Noord,BU03636300,Blauwe Zand
7200,145,70,75,22,12,17,28,22,60,33,4,3,14,60,2.6,59,723,0.9,5,47,Noord,BU03636400,Buiksloterdijk West
3933,115,60,60,12,8,18,32,30,50,42,4,3,25,50,2.3,53,867,1.1,10,50,Noord,BU03636401,Buiksloterdijk Oost
10370,1040,515,525,21,11,19,33,16,60,33,4,3,12,410,2.5,396,673,1.0,55,380,Noord,BU03636402,Nieuwendammerdijk West
5171,360,175,180,26,11,22,28,13,59,34,6,2,14,125,2.8,122,728,1.1,15,107,Noord,BU03636403,Nieuwendammerdijk Oost
0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0.0,0,0,Noord,BU03636404,Nieuwendammerdijk Zuid
6688,1140,530,610,14,8,20,26,33,43,33,13,11,6,545,2.0,550,300,0.8,40,550,Noord,BU03636500,Tuindorp Oostzaan West
8208,4185,1920,2270,16,9,27,28,19,54,31,10,5,18,2050,2.0,1994,302,0.7,175,1994,Noord,BU03636501,Tuindorp Oostzaan Oost
6266,4075,2035,2035,14,9,30,28,19,57,27,12,4,10,2195,1.8,2112,288,0.6,130,1943,Noord,BU03636502,Terrasdorp
10062,2615,1300,1310,31,11,34,21,3,65,29,5,1,19,885,3.0,742,544,0.9,80,0,Noord,BU03636503,De Bongerd
891,400,200,195,16,8,25,35,16,57,32,6,5,17,180,2.2,137,447,1.1,45,120,Noord,BU03636601,Oostzanerdijk
2808,1380,670,700,17,13,26,33,12,52,38,7,4,15,585,2.4,546,400,1.0,80,518,Noord,BU03636602,Walvisbuurt
6856,2470,1240,1225,16,13,22,35,14,53,38,6,3,11,1005,2.5,945,427,1.0,150,926,Noord,BU03636603,Twiske West
177,135,70,65,10,10,10,41,29,46,39,12,3,0,60,2.1,2,0,1.1,20,0,Noord,BU03636604,Noorder IJplas
10427,3130,1490,1640,21,14,26,21,18,57,25,12,6,10,1505,2.1,1417,243,0.5,35,1417,Noord,BU03636605,Molenwijk
8431,1345,680,670,13,10,33,32,12,56,33,9,3,9,685,1.9,643,303,0.8,50,591,Noord,BU03636606,Circus/Kermisbuurt
2068,2420,1155,1265,24,9,25,28,13,58,34,6,3,15,950,2.6,903,548,1.0,135,695,Noord,BU03636700,Kadoelen
6033,1090,515,570,16,12,20,31,21,47,43,7,4,12,450,2.4,444,371,1.0,40,444,Noord,BU03636701,Twiske Oost
5336,590,290,295,9,11,31,23,26,53,30,10,6,14,360,1.6,353,250,0.6,15,353,Noord,BU03636800,Baanakkerspark Noord
3186,445,220,225,7,9,27,24,33,51,33,10,6,4,265,1.7,259,327,0.7,10,259,Noord,BU03636801,Baanakkerspark Zuid
